index	query	fraction	rep	answer	total	result_len	answer_len	type	nbin_dist	nbin_angle	tp	tn	fp	fn	precision	recall	accuracy	f1_score
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	0	result/homeo_answer	344850	233	269	PDBTrRosetta	16	4	9	344357	224	260	0.0386	0.0335	0.9986	0.0359
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	1	result/homeo_answer	344850	2488	269	PDBTrRosetta	16	4	1	342094	2487	268	0.0004	0.0037	0.9920	0.0007
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	2	result/homeo_answer	344850	151	269	PDBTrRosetta	16	4	8	344438	143	261	0.0530	0.0297	0.9988	0.0381
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	0	result/homeo_answer	344850	185	269	PDBTrRosetta	16	4	32	344428	153	237	0.1730	0.1190	0.9989	0.1410
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	1	result/homeo_answer	344850	272	269	PDBTrRosetta	16	4	28	344337	244	241	0.1029	0.1041	0.9986	0.1035
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	2	result/homeo_answer	344850	2298	269	PDBTrRosetta	16	4	40	342323	2258	229	0.0174	0.1487	0.9928	0.0312
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.2	0	result/homeo_answer	344850	61	269	PDBTrRosetta	16	4	44	344564	17	225	0.7213	0.1636	0.9993	0.2667
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.2	1	result/homeo_answer	344850	16	269	PDBTrRosetta	16	4	12	344577	4	257	0.7500	0.0446	0.9992	0.0842
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.2	2	result/homeo_answer	344850	82	269	PDBTrRosetta	16	4	43	344542	39	226	0.5244	0.1599	0.9992	0.2450
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.4	0	result/homeo_answer	344850	60	269	PDBTrRosetta	16	4	43	344564	17	226	0.7167	0.1599	0.9993	0.2614
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.4	1	result/homeo_answer	344850	32	269	PDBTrRosetta	16	4	24	344573	8	245	0.7500	0.0892	0.9993	0.1595
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.4	2	result/homeo_answer	344850	62	269	PDBTrRosetta	16	4	43	344562	19	226	0.6935	0.1599	0.9993	0.2598
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bj0a3	0.05	0	result/homeo_answer	344850	22931	269	PDBTrRosetta	16	4	98	321748	22833	171	0.0043	0.3643	0.9333	0.0084
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bj0a3	0.05	1	result/homeo_answer	344850	469	269	PDBTrRosetta	16	4	3	344115	466	266	0.0064	0.0112	0.9979	0.0081
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bj0a3	0.05	2	result/homeo_answer	344850	472	269	PDBTrRosetta	16	4	20	344129	452	249	0.0424	0.0743	0.9980	0.0540
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bj0a3	0.1	0	result/homeo_answer	344850	8	269	PDBTrRosetta	16	4	2	344575	6	267	0.2500	0.0074	0.9992	0.0144
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bj0a3	0.1	1	result/homeo_answer	344850	1470	269	PDBTrRosetta	16	4	38	343149	1432	231	0.0259	0.1413	0.9952	0.0437
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bj0a3	0.1	2	result/homeo_answer	344850	3805	269	PDBTrRosetta	16	4	37	340813	3768	232	0.0097	0.1375	0.9884	0.0182
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bj0a3	0.2	0	result/homeo_answer	344850	51	269	PDBTrRosetta	16	4	39	344569	12	230	0.7647	0.1450	0.9993	0.2437
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bj0a3	0.2	1	result/homeo_answer	344850	66	269	PDBTrRosetta	16	4	40	344555	26	229	0.6061	0.1487	0.9993	0.2388
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bj0a3	0.2	2	result/homeo_answer	344850	54	269	PDBTrRosetta	16	4	38	344565	16	231	0.7037	0.1413	0.9993	0.2353
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bj0a3	0.4	0	result/homeo_answer	344850	105	269	PDBTrRosetta	16	4	44	344520	61	225	0.4190	0.1636	0.9992	0.2353
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bj0a3	0.4	1	result/homeo_answer	344850	59	269	PDBTrRosetta	16	4	43	344565	16	226	0.7288	0.1599	0.9993	0.2622
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bj0a3	0.4	2	result/homeo_answer	344850	58	269	PDBTrRosetta	16	4	43	344566	15	226	0.7414	0.1599	0.9993	0.2630
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bjya3	0.05	0	result/homeo_answer	344850	15	269	PDBTrRosetta	16	4	1	344567	14	268	0.0667	0.0037	0.9992	0.0070
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bjya3	0.05	1	result/homeo_answer	344850	603	269	PDBTrRosetta	16	4	17	343995	586	252	0.0282	0.0632	0.9976	0.0390
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bjya3	0.05	2	result/homeo_answer	344850	3099	269	PDBTrRosetta	16	4	25	341507	3074	244	0.0081	0.0929	0.9904	0.0148
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bjya3	0.1	0	result/homeo_answer	344850	212	269	PDBTrRosetta	16	4	43	344412	169	226	0.2028	0.1599	0.9989	0.1788
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1bjya3	0.1	1	result/homeo_answer	344850	2587	269	PDBTrRosetta	16	4	29	342023	2558	240	0.0112	0.1078	0.9919	0.0203
