index	query	fraction	rep	answer	total	result_len	answer_len	type	nbin_dist	nbin_angle	tp	tn	fp	fn	precision	recall	accuracy	f1_score
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	3.tsv	result/homeo_answer.tsv	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	0.tsv	result/homeo_answer.tsv	344850	90	269	PDBTrRosetta	16	4	1	344492	89	268	0.0111	0.0037	0.9990	0.0056
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	4.tsv	result/homeo_answer.tsv	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	1.tsv	result/homeo_answer.tsv	344850	665	269	PDBTrRosetta	16	4	34	343950	631	235	0.0511	0.1264	0.9975	0.0728
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	3.tsv	result/homeo_answer.tsv	344850	1245	269	PDBTrRosetta	16	4	41	343377	1204	228	0.0329	0.1524	0.9958	0.0542
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	2.tsv	result/homeo_answer.tsv	344850	1261	269	PDBTrRosetta	16	4	12	343332	1249	257	0.0095	0.0446	0.9956	0.0157
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	1.tsv	result/homeo_answer.tsv	344850	166	269	PDBTrRosetta	16	4	13	344428	153	256	0.0783	0.0483	0.9988	0.0598
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	4.tsv	result/homeo_answer.tsv	344850	292	269	PDBTrRosetta	16	4	43	344332	249	226	0.1473	0.1599	0.9986	0.1533
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.15	2.tsv	result/homeo_answer.tsv	344850	1563	269	PDBTrRosetta	16	4	40	343058	1523	229	0.0256	0.1487	0.9949	0.0437
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	2.tsv	result/homeo_answer.tsv	344850	480	269	PDBTrRosetta	16	4	2	344103	478	267	0.0042	0.0074	0.9978	0.0053
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.15	0.tsv	result/homeo_answer.tsv	344850	4069	269	PDBTrRosetta	16	4	45	340557	4024	224	0.0111	0.1673	0.9877	0.0207
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.15	4.tsv	result/homeo_answer.tsv	344850	1855	269	PDBTrRosetta	16	4	39	342765	1816	230	0.0210	0.1450	0.9941	0.0367
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.2	0.tsv	result/homeo_answer.tsv	344850	490	269	PDBTrRosetta	16	4	22	344113	468	247	0.0449	0.0818	0.9979	0.0580
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.2	1.tsv	result/homeo_answer.tsv	344850	834	269	PDBTrRosetta	16	4	44	343791	790	225	0.0528	0.1636	0.9971	0.0798
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	0.tsv	result/homeo_answer.tsv	344850	8	269	PDBTrRosetta	16	4	3	344576	5	266	0.3750	0.0112	0.9992	0.0217
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.25	0.tsv	result/homeo_answer.tsv	344850	217	269	PDBTrRosetta	16	4	43	344407	174	226	0.1982	0.1599	0.9988	0.1770
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.15	1.tsv	result/homeo_answer.tsv	344850	12080	269	PDBTrRosetta	16	4	43	332544	12037	226	0.0036	0.1599	0.9644	0.0070
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.25	3.tsv	result/homeo_answer.tsv	344850	172	269	PDBTrRosetta	16	4	43	344452	129	226	0.2500	0.1599	0.9990	0.1950
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.2	3.tsv	result/homeo_answer.tsv	344850	3577	269	PDBTrRosetta	16	4	44	341048	3533	225	0.0123	0.1636	0.9891	0.0229
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.2	4.tsv	result/homeo_answer.tsv	344850	1124	269	PDBTrRosetta	16	4	44	343501	1080	225	0.0391	0.1636	0.9962	0.0632
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.2	2.tsv	result/homeo_answer.tsv	344850	352	269	PDBTrRosetta	16	4	43	344272	309	226	0.1222	0.1599	0.9984	0.1385
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.15	3.tsv	result/homeo_answer.tsv	344850	5365	269	PDBTrRosetta	16	4	45	339261	5320	224	0.0084	0.1673	0.9839	0.0160
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.25	4.tsv	result/homeo_answer.tsv	344850	424	269	PDBTrRosetta	16	4	44	344201	380	225	0.1038	0.1636	0.9982	0.1270
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.3	2.tsv	result/homeo_answer.tsv	344850	6913	269	PDBTrRosetta	16	4	44	337712	6869	225	0.0064	0.1636	0.9794	0.0123
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.35	1.tsv	result/homeo_answer.tsv	344850	533	269	PDBTrRosetta	16	4	44	344092	489	225	0.0826	0.1636	0.9979	0.1097
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.3	1.tsv	result/homeo_answer.tsv	344850	133	269	PDBTrRosetta	16	4	18	344466	115	251	0.1353	0.0669	0.9989	0.0896
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.45	2.tsv	result/homeo_answer.tsv	344850	438	269	PDBTrRosetta	16	4	44	344187	394	225	0.1005	0.1636	0.9982	0.1245
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.3	0.tsv	result/homeo_answer.tsv	344850	605	269	PDBTrRosetta	16	4	44	344020	561	225	0.0727	0.1636	0.9977	0.1007
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.25	2.tsv	result/homeo_answer.tsv	344850	4973	269	PDBTrRosetta	16	4	44	339652	4929	225	0.0088	0.1636	0.9851	0.0168
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.35	2.tsv	result/homeo_answer.tsv	344850	433	269	PDBTrRosetta	16	4	44	344192	389	225	0.1016	0.1636	0.9982	0.1254
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.4	1.tsv	result/homeo_answer.tsv	344850	519	269	PDBTrRosetta	16	4	44	344106	475	225	0.0848	0.1636	0.9980	0.1117
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.25	1.tsv	result/homeo_answer.tsv	344850	846	269	PDBTrRosetta	16	4	44	343779	802	225	0.0520	0.1636	0.9970	0.0789
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.4	2.tsv	result/homeo_answer.tsv	344850	833	269	PDBTrRosetta	16	4	42	343790	791	227	0.0504	0.1561	0.9970	0.0762
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.5	4.tsv	result/homeo_answer.tsv	344850	137	269	PDBTrRosetta	16	4	44	344488	93	225	0.3212	0.1636	0.9991	0.2167
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.3	3.tsv	result/homeo_answer.tsv	344850	902	269	PDBTrRosetta	16	4	43	343722	859	226	0.0477	0.1599	0.9969	0.0734
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.3	4.tsv	result/homeo_answer.tsv	344850	448	269	PDBTrRosetta	16	4	42	344175	406	227	0.0938	0.1561	0.9982	0.1172
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.5	3.tsv	result/homeo_answer.tsv	344850	2209	269	PDBTrRosetta	16	4	44	342416	2165	225	0.0199	0.1636	0.9931	0.0355
