index	query	fraction	rep	answer	total	result_len	answer_len	type	nbin_dist	nbin_angle	tp	tn	fp	fn	precision	recall	accuracy	f1_score
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	1	result/homeo_answer	344850	9210	269	PDBTrRosetta	16	4	40	335411	9170	229	0.0043	0.1487	0.9727	0.0084
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	4	result/homeo_answer	344850	7012	269	PDBTrRosetta	16	4	11	337580	7001	258	0.0016	0.0409	0.9790	0.0030
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	2	result/homeo_answer	344850	25566	269	PDBTrRosetta	16	4	76	319091	25490	193	0.0030	0.2825	0.9255	0.0059
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	3	result/homeo_answer	344850	2254	269	PDBTrRosetta	16	4	99	342426	2155	170	0.0439	0.3680	0.9933	0.0785
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	0	result/homeo_answer	344850	6117	269	PDBTrRosetta	16	4	8	338472	6109	261	0.0013	0.0297	0.9815	0.0025
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	0	result/homeo_answer	344850	61631	269	PDBTrRosetta	16	4	69	283019	61562	200	0.0011	0.2565	0.8209	0.0022
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	4	result/homeo_answer	344850	69176	269	PDBTrRosetta	16	4	63	275468	69113	206	0.0009	0.2342	0.7990	0.0018
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	1	result/homeo_answer	344850	79058	269	PDBTrRosetta	16	4	123	265646	78935	146	0.0016	0.4572	0.7707	0.0031
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	2	result/homeo_answer	344850	49685	269	PDBTrRosetta	16	4	47	294943	49638	222	0.0009	0.1747	0.8554	0.0019
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	3	result/homeo_answer	344850	108463	269	PDBTrRosetta	16	4	166	236284	108297	103	0.0015	0.6171	0.6857	0.0031
