config	query	hits	result_len	answer_len	tp	fp	fn	precision	sens_at_1fp	runtime	max_rss_kb
aa_group	M0819	6000	2078	26	20	1	6	0.9524	0.7692	2.99	61456
aa_group	M0822	6000	2126	3	3	1	0	0.7500	1.0000	2.59	113220
aa_group	M0826	6000	1891	22	6	1	16	0.8571	0.2727	1.11	181848
aa_group	M0829	6000	1632	7	6	1	1	0.8571	0.8571	2.06	88260
aa_group	M0835	6000	2047	62	25	1	37	0.9615	0.4032	2.22	65376
aa_group	M0843	6000	2178	17	10	1	7	0.9091	0.5882	2.09	76652
aa_group	M0850	6000	1872	40	15	1	25	0.9375	0.3750	1.92	126396
aa_group	M0851	6000	2196	24	2	1	22	0.6667	0.0833	2.44	53244
aa_group	M0854	6000	1216	136	10	1	126	0.9091	0.0735	4.83	157740
aa_group	M0855	6000	1873	55	9	1	46	0.9000	0.1636	5.38	131560
aa_group	M0857	6000	1566	13	8	1	5	0.8889	0.6154	2.09	116016
aa_group	M0858	6000	2082	353	304	1	49	0.9967	0.8612	3.52	109264
aa_group	M0860	6000	2153	14	3	1	11	0.7500	0.2143	2.94	71132
aa_group	M0862	6000	1841	21	12	1	9	0.9231	0.5714	3.65	175240
aa_group	M0869	6000	1917	6	6	1	0	0.8571	1.0000	5.24	116364
aa_group	M0874	6000	1751	4	3	1	1	0.7500	0.7500	2.90	102540
aa_group	M0879	6000	2191	38	5	1	33	0.8333	0.1316	3.68	77308
aa_group	M0881	6000	1737	157	150	1	7	0.9934	0.9554	5.04	187588
aa_group	M0884	6000	1542	24	14	1	10	0.9333	0.5833	3.58	170504
aa_group	M0885	6000	1638	17	7	1	10	0.8750	0.4118	23.19	638208
aa_group	M0895	6000	1796	131	6	1	125	0.8571	0.0458	2.09	76036
aa_group	M0900	6000	1798	448	99	1	349	0.9900	0.2210	2.76	74892
aa_group	M0905	6000	2138	231	5	1	226	0.8333	0.0216	2.40	61028
aa_group	M0906	6000	1925	266	61	1	205	0.9839	0.2293	1.84	121304
aa_group	M0908	6000	1800	79	10	1	69	0.9091	0.1266	2.84	108020
aa_group	M0910	6000	1869	8	7	1	1	0.8750	0.8750	4.34	161820
aa_group	M0916	6000	2032	1	1	1	0	0.5000	1.0000	1.91	71540
aa_group	M0918	6000	1973	140	57	1	83	0.9828	0.4071	8.52	486820
aa_group	M0919	6000	2083	19	11	1	8	0.9167	0.5789	5.30	123732
aa_group	M0920	6000	1993	39	12	1	27	0.9231	0.3077	3.06	83500
aa_group	M0925	6000	2001	24	1	1	23	0.5000	0.0417	4.31	118308
aa_group	M0931	6000	1872	74	60	1	14	0.9836	0.8108	4.14	123284
aa_group	M0937	6000	1954	32	15	1	17	0.9375	0.4688	2.54	84752
aa_group	M0939	6000	1869	27	7	1	20	0.8750	0.2593	4.52	247136
aa_group	M0940	6000	432	122	8	1	114	0.8889	0.0656	4.76	191896
aa_group	M0947	6000	1497	68	4	1	64	0.8000	0.0588	7.41	248288
aa_group	M0952	6000	1784	89	5	1	84	0.8333	0.0562	4.39	320584
aa_group	M0957	6000	480	223	28	1	195	0.9655	0.1256	3.27	131368
aa_group	M0958	6000	421	243	60	1	183	0.9836	0.2469	4.42	128236
aa_group	M0959	6000	521	178	38	1	140	0.9744	0.2135	6.88	218744
aa_group	M0961	6000	223	155	6	1	149	0.8571	0.0387	6.42	175732
aa_group	M0962	6000	168	147	13	1	134	0.9286	0.0884	3.73	143332
aa_group	M0964	6000	1956	69	8	1	61	0.8889	0.1159	9.58	249448
aa_size	M0003	6000	1911	95	19	1	76	0.9500	0.2000	2.49	109528
aa_size	M0010	6000	1753	15	13	1	2	0.9286	0.8667	3.90	207680
aa_size	M0019	6000	1961	22	22	1	0	0.9565	1.0000	5.13	191184
aa_size	M0020	6000	1707	120	97	1	23	0.9898	0.8083	6.54	402552
aa_size	M0028	6000	1874	22	20	1	2	0.9524	0.9091	4.69	239948
aa_size	M0031	6000	1834	321	242	1	79	0.9959	0.7539	6.79	287476
aa_size	M0033	6000	1686	15	3	1	12	0.7500	0.2000	2.56	225812
aa_size	M0040	6000	1623	61	12	1	49	0.9231	0.1967	3.73	140380
aa_size	M0043	6000	1901	22	20	1	2	0.9524	0.9091	16.30	640840
aa_size	M0044	6000	1929	75	64	1	11	0.9846	0.8533	43.93	1298976
aa_size	M0048	6000	1592	104	81	1	23	0.9878	0.7788	4.46	257252
aa_size	M0054	6000	1743	46	28	1	18	0.9655	0.6087	2.52	100112
aa_size	M0058	6000	1716	42	11	1	31	0.9167	0.2619	4.85	233168
aa_size	M0065	6000	2183	56	38	1	18	0.9744	0.6786	5.41	225412
aa_size	M0066	6000	1805	60	7	1	53	0.8750	0.1167	3.93	148876
aa_size	M0067	6000	1822	42	13	1	29	0.9286	0.3095	8.09	309760
aa_size	M0070	6000	1868	172	8	1	164	0.8889	0.0465	2.66	94336
aa_size	M0075	6000	1829	3	2	1	1	0.6667	0.6667	11.22	376264
aa_size	M0076	6000	1798	102	38	1	64	0.9744	0.3725	3.77	100640
aa_size	M0077	6000	1754	108	55	1	53	0.9821	0.5093	3.28	158184
aa_size	M0081	6000	1821	10	8	1	2	0.8889	0.8000	8.80	501476
aa_size	M0085	6000	1778	12	9	1	3	0.9000	0.7500	15.54	414704
aa_size	M0087	6000	1930	72	62	1	10	0.9841	0.8611	17.51	590884
aa_size	M0090	6000	1802	61	54	1	7	0.9818	0.8852	57.83	1606056
aa_size	M0092	6000	1840	43	36	1	7	0.9730	0.8372	7.80	320528
aa_size	M0093	6000	1584	24	18	1	6	0.9474	0.7500	6.84	193540
aa_size	M0096	6000	2047	24	2	1	22	0.6667	0.0833	2.57	97000
aa_size	M0100	6000	1359	381	178	1	203	0.9944	0.4672	5.53	163344
aa_size	M0104	6000	1724	12	5	1	7	0.8333	0.4167	12.80	458664
aa_size	M0107	6000	1805	78	6	1	72	0.8571	0.0769	4.88	189728
aa_size	M0108	6000	1832	178	56	1	122	0.9825	0.3146	3.88	163752
aa_size	M0109	6000	1818	212	117	1	95	0.9915	0.5519	7.83	398676
aa_size	M0111	6000	1706	11	2	1	9	0.6667	0.1818	10.30	368000
aa_size	M0117	6000	2644	121	53	1	68	0.9815	0.4380	2.24	124652
aa_size	M0118	6000	1776	108	92	1	16	0.9892	0.8519	4.49	158136
aa_size	M0121	6000	1978	55	9	1	46	0.9000	0.1636	3.86	116088
aa_size	M0122	6000	1914	29	19	1	10	0.9500	0.6552	5.24	251640
aa_size	M0123	6000	1986	29	7	1	22	0.8750	0.2414	17.10	489328
aa_size	M0125	6000	1784	40	37	1	3	0.9737	0.9250	4.67	296684
aa_size	M0131	6000	1957	48	37	1	11	0.9737	0.7708	7.53	216392
aa_size	M0134	6000	2169	56	55	1	1	0.9821	0.9821	2.80	122272
aa_size	M0136	6000	1837	11	10	1	1	0.9091	0.9091	11.55	642932
aa_size	M0139	6000	1860	78	32	1	46	0.9697	0.4103	5.05	118276
aa_size	M0141	6000	1986	27	5	1	22	0.8333	0.1852	21.72	810584
aa_size	M0142	6000	1753	15	7	1	8	0.8750	0.4667	4.60	228112
aa_size	M0154	6000	2108	63	49	1	14	0.9800	0.7778	2.95	99224
aa_size	M0159	6000	1962	161	43	1	118	0.9773	0.2671	10.37	462280
aa_size	M0163	6000	1846	55	11	1	44	0.9167	0.2000	6.29	255852
aa_size	M0172	6000	2010	20	10	1	10	0.9091	0.5000	4.54	174732
aa_size	M0175	6000	3387	830	197	1	633	0.9949	0.2373	3.16	180776
aa_size	M0178	6000	1968	303	106	1	197	0.9907	0.3498	5.31	255596
aa_size	M0181	6000	1874	9	8	1	1	0.8889	0.8889	13.63	579440
aa_size	M0188	6000	2063	120	15	1	105	0.9375	0.1250	3.41	113088
aa_size	M0194	6000	1866	70	22	1	48	0.9565	0.3143	12.11	546596
aa_size	M0201	6000	1568	45	10	1	35	0.9091	0.2222	2.57	124596
aa_size	M0202	6000	1821	1	1	1	0	0.5000	1.0000	2.09	86072
aa_size	M0205	6000	1850	263	245	1	18	0.9959	0.9316	6.75	334608
aa_size	M0206	6000	1923	80	70	1	10	0.9859	0.8750	15.10	810552
aa_size	M0210	6000	1881	224	8	1	216	0.8889	0.0357	3.64	236168
aa_size	M0212	6000	1553	97	49	1	48	0.9800	0.5052	11.01	419348
aa_size	M0216	6000	2578	1167	1148	1	19	0.9991	0.9837	3.35	203664
aa_size	M0227	6000	1673	40	10	1	30	0.9091	0.2500	9.36	326576
aa_size	M0228	6000	2097	122	13	1	109	0.9286	0.1066	4.24	267352
aa_size	M0231	6000	1918	16	15	1	1	0.9375	0.9375	4.88	240268
aa_size	M0234	6000	1782	19	7	1	12	0.8750	0.3684	7.51	276656
aa_size	M0235	6000	1885	18	2	1	16	0.6667	0.1111	2.22	84896
aa_size	M0237	6000	1443	616	83	1	533	0.9881	0.1347	2.53	120308
aa_size	M0243	6000	1777	14	14	1	0	0.9333	1.0000	11.08	495244
aa_size	M0250	6000	1837	15	15	1	0	0.9375	1.0000	2.91	166292
aa_size	M0253	6000	2081	240	55	1	185	0.9821	0.2292	14.93	775324
aa_size	M0254	6000	1969	19	19	1	0	0.9500	1.0000	44.27	1237964
aa_size	M0257	6000	2004	256	221	1	35	0.9955	0.8633	6.97	284176
aa_size	M0260	6000	1856	22	20	1	2	0.9524	0.9091	6.12	469724
aa_size	M0261	6000	2119	23	16	1	7	0.9412	0.6957	4.25	135768
aa_size	M0262	6000	1739	20	20	1	0	0.9524	1.0000	7.75	542144
aa_size	M0263	6000	1471	51	7	1	44	0.8750	0.1373	2.54	125984
aa_size	M0266	6000	2130	47	42	1	5	0.9767	0.8936	5.24	290076
aa_size	M0272	6000	1722	45	26	1	19	0.9630	0.5778	8.64	269396
aa_size	M0278	6000	1974	105	60	1	45	0.9836	0.5714	4.26	146460
aa_size	M0281	6000	1460	3	2	1	1	0.6667	0.6667	11.00	361248
aa_size	M0293	6000	1715	62	39	1	23	0.9750	0.6290	4.19	226796
aa_size	M0294	6000	1683	116	101	1	15	0.9902	0.8707	10.22	471504
aa_size	M0297	6000	1936	18	1	1	17	0.5000	0.0556	1.76	86896
aa_size	M0298	6000	1771	366	0	1	366	0.0000	0.0000	2.46	147116
aa_size	M0301	6000	2002	52	13	1	39	0.9286	0.2500	3.99	141416
aa_size	M0308	6000	1951	174	174	1	0	0.9943	1.0000	28.73	950580
aa_size	M0311	6000	1611	84	84	1	0	0.9882	1.0000	26.86	802036
aa_size	M0313	6000	1688	19	14	1	5	0.9333	0.7368	2.95	79384
aa_size	M0314	6000	1585	48	7	1	41	0.8750	0.1458	10.79	445784
aa_size	M0321	6000	1917	25	7	1	18	0.8750	0.2800	3.56	208840
aa_size	M0334	6000	1780	23	22	1	1	0.9565	0.9565	5.38	183752
aa_size	M0338	6000	2260	28	0	1	28	0.0000	0.0000	2.87	94528
aa_size	M0346	6000	1650	143	12	1	131	0.9231	0.0839	4.00	183100
aa_size	M0348	6000	545	180	66	1	114	0.9851	0.3667	11.88	430400
aa_size	M0351	6000	1896	26	19	1	7	0.9500	0.7308	2.44	70836
aa_size	M0353	6000	1635	14	7	1	7	0.8750	0.5000	3.70	105272
aa_size	M0357	6000	2240	6	4	1	2	0.8000	0.6667	3.12	103280
aa_size	M0358	6000	1724	1	1	1	0	0.5000	1.0000	11.30	595452
aa_size	M0363	6000	2031	66	3	1	63	0.7500	0.0455	2.68	150092
aa_size	M0369	6000	1818	87	17	1	70	0.9444	0.1954	4.31	282120
aa_size	M0371	6000	1809	123	11	1	112	0.9167	0.0894	4.34	215220
aa_size	M0376	6000	1853	42	35	1	7	0.9722	0.8333	3.27	245224
aa_size	M0377	6000	1051	215	33	1	182	0.9706	0.1535	14.76	589736
aa_size	M0379	6000	2025	121	31	1	90	0.9688	0.2562	17.23	771064
aa_size	M0380	6000	1812	27	19	1	8	0.9500	0.7037	3.40	169804
aa_size	M0381	6000	2018	76	44	1	32	0.9778	0.5789	1.60	73920
aa_size	M0383	6000	1978	131	78	1	53	0.9873	0.5954	6.44	218128
aa_size	M0384	6000	1948	107	6	1	101	0.8571	0.0561	5.06	284216
aa_size	M0386	6000	1644	5	5	1	0	0.8333	1.0000	15.23	722552
aa_size	M0387	6000	1465	2182	42	1	2140	0.9767	0.0192	3.03	165928
aa_size	M0391	6000	1912	15	8	1	7	0.8889	0.5333	1.19	102756
aa_size	M0398	6000	1775	37	1	1	36	0.5000	0.0270	9.18	453180
aa_size	M0401	6000	1719	396	4	1	392	0.8000	0.0101	6.20	232032
aa_size	M0403	6000	2075	17	11	1	6	0.9167	0.6471	2.77	188072
aa_size	M0410	6000	1775	34	12	1	22	0.9231	0.3529	5.97	248180
aa_size	M0412	6000	1835	61	5	1	56	0.8333	0.0820	7.14	197972
aa_size	M0414	6000	1752	83	61	1	22	0.9839	0.7349	5.45	243372
aa_size	M0416	6000	2083	5	5	1	0	0.8333	1.0000	22.74	610532
aa_size	M0420	6000	2033	18	6	1	12	0.8571	0.3333	2.87	143780
aa_size	M0423	6000	2310	99	5	1	94	0.8333	0.0505	3.28	145608
aa_size	M0425	6000	1739	2202	10	1	2192	0.9091	0.0045	3.77	178012
aa_size	M0426	6000	1914	20	19	1	1	0.9500	0.9500	6.18	228588
aa_size	M0428	6000	1361	11	9	1	2	0.9000	0.8182	10.38	382420
aa_size	M0429	6000	1896	48	23	1	25	0.9583	0.4792	5.45	175500
aa_size	M0431	6000	2011	4	4	1	0	0.8000	1.0000	3.86	204344
aa_size	M0433	6000	1820	214	11	1	203	0.9167	0.0514	2.37	114968
aa_size	M0434	6000	1926	13	1	1	12	0.5000	0.0769	11.11	488560
aa_size	M0435	6000	1677	88	12	1	76	0.9231	0.1364	45.76	1443776
aa_size	M0440	6000	2038	50	36	1	14	0.9730	0.7200	8.50	280048
aa_size	M0444	6000	1794	84	79	1	5	0.9875	0.9405	1.99	143360
aa_size	M0447	6000	1747	6	2	1	4	0.6667	0.3333	6.30	289848
aa_size	M0448	6000	1952	8	1	1	7	0.5000	0.1250	3.02	123200
aa_size	M0453	6000	1740	66	35	1	31	0.9722	0.5303	8.87	331056
aa_size	M0454	6000	1646	15	12	1	3	0.9231	0.8000	5.88	338988
aa_size	M0456	6000	2316	18	2	1	16	0.6667	0.1111	2.55	111748
aa_size	M0458	6000	2169	26	17	1	9	0.9444	0.6538	2.69	118272
aa_size	M0462	6000	1846	50	38	1	12	0.9744	0.7600	4.07	289984
aa_size	M0466	6000	1895	194	13	1	181	0.9286	0.0670	24.24	772552
aa_size	M0472	6000	1972	97	94	1	3	0.9895	0.9691	21.40	784192
aa_size	M0477	6000	1747	72	47	1	25	0.9792	0.6528	3.67	155404
aa_size	M0484	6000	1813	102	102	1	0	0.9903	1.0000	28.38	808348
aa_size	M0488	6000	1998	7	7	1	0	0.8750	1.0000	25.18	561692
aa_size	M0497	6000	1792	16	15	1	1	0.9375	0.9375	14.72	505680
aa_size	M0502	6000	1624	129	6	1	123	0.8571	0.0465	14.71	557344
aa_size	M0505	6000	1716	28	3	1	25	0.7500	0.1071	5.28	366980
aa_size	M0506	6000	1840	117	80	1	37	0.9877	0.6838	7.47	205404
aa_size	M0508	6000	2042	8	7	1	1	0.8750	0.8750	9.29	426752
aa_size	M0510	6000	2045	63	2	1	61	0.6667	0.0317	2.92	147556
aa_size	M0515	6000	1848	21	11	1	10	0.9167	0.5238	4.90	224956
aa_size	M0519	6000	1906	20	18	1	2	0.9474	0.9000	13.61	633980
aa_size	M0520	6000	1420	446	320	1	126	0.9969	0.7175	4.42	166664
aa_size	M0544	6000	1906	14	9	1	5	0.9000	0.6429	6.53	209128
aa_size	M0545	6000	2136	20	14	1	6	0.9333	0.7000	2.74	96564
aa_size	M0547	6000	2221	8	4	1	4	0.8000	0.5000	2.91	168348
aa_size	M0550	6000	1837	21	6	1	15	0.8571	0.2857	3.24	157540
aa_size	M0563	6000	2417	32	0	1	32	0.0000	0.0000	1.25	67052
aa_size	M0564	6000	2062	400	9	1	391	0.9000	0.0225	1.96	113080
aa_size	M0565	6000	2233	14	3	1	11	0.7500	0.2143	2.35	109944
aa_size	M0574	6000	1572	134	23	1	111	0.9583	0.1716	9.62	312004
aa_size	M0580	6000	1935	10	8	1	2	0.8889	0.8000	4.88	147048
aa_size	M0589	6000	1692	69	3	1	66	0.7500	0.0435	3.91	218456
aa_size	M0590	6000	1945	20	4	1	16	0.8000	0.2000	3.58	173868
aa_size	M0597	6000	1871	28	12	1	16	0.9231	0.4286	2.25	127584
aa_size	M0600	6000	1789	79	32	1	47	0.9697	0.4051	3.39	194832
aa_size	M0609	6000	1422	86	13	1	73	0.9286	0.1512	2.21	148552
aa_size	M0612	6000	1766	92	49	1	43	0.9800	0.5326	3.51	107420
aa_size	M0616	6000	1803	6	5	1	1	0.8333	0.8333	3.54	240492
aa_size	M0623	6000	1815	17	17	1	0	0.9444	1.0000	3.61	193208
aa_size	M0625	6000	1953	9	1	1	8	0.5000	0.1111	4.90	117312
aa_size	M0634	6000	1837	10	10	1	0	0.9091	1.0000	4.34	137148
aa_size	M0636	6000	1784	17	7	1	10	0.8750	0.4118	3.20	106440
aa_size	M0642	6000	2321	31	3	1	28	0.7500	0.0968	1.18	58192
aa_size	M0651	6000	1842	65	8	1	57	0.8889	0.1231	4.09	121752
aa_size	M0653	6000	1832	26	5	1	21	0.8333	0.1923	6.09	235416
aa_size	M0655	6000	2159	7	5	1	2	0.8333	0.7143	2.48	94064
aa_size	M0658	6000	1732	13	3	1	10	0.7500	0.2308	3.32	109652
aa_size	M0663	6000	1585	97	10	1	87	0.9091	0.1031	3.01	201964
aa_size	M0669	6000	1794	11	1	1	10	0.5000	0.0909	2.86	117168
aa_size	M0674	6000	1841	38	4	1	34	0.8000	0.1053	4.24	108524
aa_size	M0682	6000	1675	329	2	1	327	0.6667	0.0061	1.85	78120
aa_size	M0683	6000	1946	30	27	1	3	0.9643	0.9000	5.74	259364
aa_size	M0693	6000	1960	412	7	1	405	0.8750	0.0170	3.08	117292
aa_size	M0697	6000	2235	156	6	1	150	0.8571	0.0385	1.51	88828
aa_size	M0709	6000	1975	351	3	1	348	0.7500	0.0085	3.01	118028
aa_size	M0727	6000	1691	24	7	1	17	0.8750	0.2917	8.11	271396
aa_size	M0732	6000	1894	20	5	1	15	0.8333	0.2500	4.92	256352
aa_size	M0734	6000	1730	10	3	1	7	0.7500	0.3000	2.35	156196
aa_size	M0736	6000	1877	4	4	1	0	0.8000	1.0000	2.48	111796
aa_size	M0738	6000	1653	16	9	1	7	0.9000	0.5625	4.26	114992
aa_size	M0742	6000	2329	3	3	1	0	0.7500	1.0000	4.26	99052
aa_size	M0748	6000	1678	20	15	1	5	0.9375	0.7500	2.78	109332
aa_size	M0752	6000	1977	9	9	1	0	0.9000	1.0000	2.25	176724
aa_size	M0754	6000	2094	13	4	1	9	0.8000	0.3077	2.00	76096
aa_size	M0755	6000	1798	12	8	1	4	0.8889	0.6667	6.69	161844
aa_size	M0759	6000	2387	80	18	1	62	0.9474	0.2250	2.10	114228
aa_size	M0768	6000	1828	237	18	1	219	0.9474	0.0759	4.62	139952
aa_size	M0771	6000	1948	285	5	1	280	0.8333	0.0175	4.98	100488
aa_size	M0781	6000	1772	8	7	1	1	0.8750	0.8750	3.63	149668
aa_size	M0789	6000	1789	62	25	1	37	0.9615	0.4032	4.21	167560
aa_size	M0792	6000	1783	11	1	1	10	0.5000	0.0909	5.45	389904
aa_size	M0795	6000	1837	80	29	1	51	0.9667	0.3625	10.59	534972
aa_size	M0798	6000	1476	2197	5	1	2192	0.8333	0.0023	2.45	143560
aa_size	M0806	6000	1687	5	1	1	4	0.5000	0.2000	3.25	159584
aa_size	M0808	6000	1753	5	1	1	4	0.5000	0.2000	5.03	157304
aa_size	M0810	6000	1792	38	11	1	27	0.9167	0.2895	11.12	313600
aa_size	M0815	6000	1619	243	166	1	77	0.9940	0.6831	3.02	107240
aa_size	M0816	6000	1809	242	12	1	230	0.9231	0.0496	6.70	194452
aa_size	M0819	6000	1965	26	20	1	6	0.9524	0.7692	2.75	84836
aa_size	M0822	6000	1788	3	2	1	1	0.6667	0.6667	1.82	136380
aa_size	M0826	6000	2074	22	6	1	16	0.8571	0.2727	1.67	98392
aa_size	M0829	6000	1729	7	6	1	1	0.8571	0.8571	2.41	114032
aa_size	M0835	6000	1891	62	25	1	37	0.9615	0.4032	4.68	111000
aa_size	M0843	6000	2061	17	11	1	6	0.9167	0.6471	2.37	92912
aa_size	M0850	6000	1781	40	13	1	27	0.9286	0.3250	2.54	117892
aa_size	M0851	6000	2312	24	2	1	22	0.6667	0.0833	2.11	53324
aa_size	M0854	6000	1519	136	10	1	126	0.9091	0.0735	4.33	177384
aa_size	M0855	6000	1725	55	8	1	47	0.8889	0.1455	4.94	177020
aa_size	M0857	6000	1689	13	6	1	7	0.8571	0.4615	3.42	181200
aa_size	M0858	6000	1952	353	310	1	43	0.9968	0.8782	4.51	165012
aa_size	M0860	6000	1995	14	3	1	11	0.7500	0.2143	5.08	111220
aa_size	M0862	6000	1838	21	9	1	12	0.9000	0.4286	3.13	175440
aa_size	M0869	6000	1766	6	6	1	0	0.8571	1.0000	6.23	153748
aa_size	M0874	6000	2255	4	3	1	1	0.7500	0.7500	2.97	176468
aa_size	M0879	6000	2096	38	4	1	34	0.8000	0.1053	2.06	49828
aa_size	M0881	6000	1875	157	109	1	48	0.9909	0.6943	2.63	177828
aa_size	M0884	6000	1668	24	19	1	5	0.9500	0.7917	5.39	225420
aa_size	M0885	6000	1909	17	4	1	13	0.8000	0.2353	17.97	781172
aa_size	M0895	6000	1606	131	7	1	124	0.8750	0.0534	3.29	105188
aa_size	M0900	6000	1683	448	315	1	133	0.9968	0.7031	3.42	87004
aa_size	M0905	6000	1786	231	5	1	226	0.8333	0.0216	3.35	101988
aa_size	M0906	6000	2004	266	61	1	205	0.9839	0.2293	2.18	137088
aa_size	M0908	6000	1992	79	3	1	76	0.7500	0.0380	2.88	149096
aa_size	M0910	6000	1815	8	7	1	1	0.8750	0.8750	4.37	212544
aa_size	M0916	6000	1688	1	1	1	0	0.5000	1.0000	1.67	122492
aa_size	M0918	6000	2074	140	63	1	77	0.9844	0.4500	7.72	460976
aa_size	M0919	6000	1736	19	11	1	8	0.9167	0.5789	5.16	161868
aa_size	M0920	6000	1747	39	12	1	27	0.9231	0.3077	1.77	102704
aa_size	M0925	6000	1864	24	1	1	23	0.5000	0.0417	1.92	101168
aa_size	M0931	6000	1872	74	62	1	12	0.9841	0.8378	3.50	144624
aa_size	M0937	6000	2185	32	11	1	21	0.9167	0.3438	3.24	126176
aa_size	M0939	6000	2020	27	7	1	20	0.8750	0.2593	3.96	257732
aa_size	M0940	6000	515	122	32	1	90	0.9697	0.2623	9.88	345388
aa_size	M0947	6000	1682	68	4	1	64	0.8000	0.0588	7.53	254340
aa_size	M0952	6000	1739	89	5	1	84	0.8333	0.0562	4.60	292188
aa_size	M0957	6000	637	223	28	1	195	0.9655	0.1256	9.27	288212
aa_size	M0958	6000	593	243	58	1	185	0.9831	0.2387	9.73	257644
aa_size	M0959	6000	723	178	14	1	164	0.9333	0.0787	9.30	422600
aa_size	M0961	6000	752	155	6	1	149	0.8571	0.0387	10.06	310872
aa_size	M0962	6000	745	147	12	1	135	0.9231	0.0816	6.26	229700
aa_size	M0964	6000	1788	69	9	1	60	0.9000	0.1304	8.46	322236
sensitive_aa	M0003	6000	1935	95	87	1	8	0.9886	0.9158	1.86	64144
sensitive_aa	M0010	6000	1650	15	14	1	1	0.9333	0.9333	6.04	165500
sensitive_aa	M0019	6000	1695	22	22	1	0	0.9565	1.0000	3.60	177128
sensitive_aa	M0020	6000	1766	120	107	1	13	0.9907	0.8917	7.49	376648
sensitive_aa	M0028	6000	1926	22	20	1	2	0.9524	0.9091	3.85	242188
sensitive_aa	M0031	6000	1816	321	269	1	52	0.9963	0.8380	3.59	218532
sensitive_aa	M0033	6000	1785	15	2	1	13	0.6667	0.1333	4.27	209876
sensitive_aa	M0040	6000	1552	61	13	1	48	0.9286	0.2131	3.58	146872
sensitive_aa	M0043	6000	1857	22	20	1	2	0.9524	0.9091	7.93	409236
sensitive_aa	M0044	6000	2006	75	65	1	10	0.9848	0.8667	30.86	1112640
sensitive_aa	M0048	6000	1635	104	77	1	27	0.9872	0.7404	4.12	205844
sensitive_aa	M0054	6000	2048	46	30	1	16	0.9677	0.6522	2.45	91224
sensitive_aa	M0058	6000	1953	42	12	1	30	0.9231	0.2857	6.25	294184
sensitive_aa	M0065	6000	1751	56	40	1	16	0.9756	0.7143	2.21	157048
sensitive_aa	M0066	6000	1643	60	8	1	52	0.8889	0.1333	3.16	183208
sensitive_aa	M0067	6000	1795	42	20	1	22	0.9524	0.4762	5.75	280496
sensitive_aa	M0070	6000	1801	172	8	1	164	0.8889	0.0465	1.61	76800
sensitive_aa	M0075	6000	1540	3	2	1	1	0.6667	0.6667	9.24	364796
sensitive_aa	M0076	6000	1703	102	38	1	64	0.9744	0.3725	3.81	122064
sensitive_aa	M0077	6000	1693	108	71	1	37	0.9861	0.6574	2.00	67984
sensitive_aa	M0081	6000	1667	10	7	1	3	0.8750	0.7000	12.21	490908
sensitive_aa	M0085	6000	1779	12	10	1	2	0.9091	0.8333	9.71	274716
sensitive_aa	M0087	6000	2035	72	64	1	8	0.9846	0.8889	9.73	405104
sensitive_aa	M0090	6000	1958	61	57	1	4	0.9828	0.9344	43.39	1430680
sensitive_aa	M0092	6000	1874	43	39	1	4	0.9750	0.9070	4.34	268352
sensitive_aa	M0093	6000	1768	24	24	1	0	0.9600	1.0000	4.17	166524
sensitive_aa	M0096	6000	2241	24	2	1	22	0.6667	0.0833	1.95	111640
sensitive_aa	M0100	6000	1314	381	207	1	174	0.9952	0.5433	4.37	142184
sensitive_aa	M0104	6000	1632	12	5	1	7	0.8333	0.4167	7.80	312120
sensitive_aa	M0107	6000	1644	78	8	1	70	0.8889	0.1026	2.78	141596
sensitive_aa	M0108	6000	1437	178	1	1	177	0.5000	0.0056	2.79	174848
sensitive_aa	M0109	6000	2218	212	120	1	92	0.9917	0.5660	5.84	364908
sensitive_aa	M0111	6000	1688	11	1	1	10	0.5000	0.0909	5.70	293860
sensitive_aa	M0117	6000	1932	121	46	1	75	0.9787	0.3802	2.36	110996
sensitive_aa	M0118	6000	2170	108	89	1	19	0.9889	0.8241	3.51	132868
sensitive_aa	M0121	6000	1913	55	17	1	38	0.9444	0.3091	2.16	90412
sensitive_aa	M0122	6000	1765	29	23	1	6	0.9583	0.7931	3.85	189544
sensitive_aa	M0123	6000	1808	29	7	1	22	0.8750	0.2414	9.85	423940
sensitive_aa	M0125	6000	1729	40	37	1	3	0.9737	0.9250	3.79	208824
sensitive_aa	M0131	6000	1647	48	37	1	11	0.9737	0.7708	3.58	172772
sensitive_aa	M0134	6000	2097	56	56	1	0	0.9825	1.0000	3.98	141976
sensitive_aa	M0136	6000	1792	11	9	1	2	0.9000	0.8182	12.02	567260
sensitive_aa	M0139	6000	2026	78	40	1	38	0.9756	0.5128	3.07	112040
sensitive_aa	M0141	6000	1869	27	14	1	13	0.9333	0.5185	20.00	770988
sensitive_aa	M0142	6000	1541	15	5	1	10	0.8333	0.3333	6.30	293260
sensitive_aa	M0154	6000	2079	63	49	1	14	0.9800	0.7778	2.60	97588
sensitive_aa	M0159	6000	2145	161	60	1	101	0.9836	0.3727	6.38	338332
sensitive_aa	M0163	6000	2096	55	23	1	32	0.9583	0.4182	3.78	184812
sensitive_aa	M0172	6000	2104	20	10	1	10	0.9091	0.5000	2.98	125292
sensitive_aa	M0175	6000	3066	830	189	1	641	0.9947	0.2277	3.27	122536
sensitive_aa	M0178	6000	1857	303	162	1	141	0.9939	0.5347	3.57	281448
