config	query	hits	result_len	answer_len	tp	fp	fn	precision	sens_at_1fp	runtime	max_rss_kb
aa_group	M0019	6000	1559	22	22	1	0	0.9565	1.0000	3.58	122604
aa_group	M0020	6000	1746	120	102	1	18	0.9903	0.8500	5.19	265288
aa_group	M0028	6000	1677	22	20	1	2	0.9524	0.9091	4.75	196048
aa_group	M0031	6000	1883	321	251	1	70	0.9960	0.7819	6.07	232128
aa_group	M0033	6000	1761	15	9	1	6	0.9000	0.6000	4.37	241888
aa_group	M0040	6000	1629	61	12	1	49	0.9231	0.1967	2.53	151736
aa_group	M0043	6000	1784	22	20	1	2	0.9524	0.9091	16.34	424668
aa_group	M0044	6000	1973	75	67	1	8	0.9853	0.8933	29.41	780296
aa_group	M0048	6000	1602	104	76	1	28	0.9870	0.7308	4.39	161656
aa_group	M0054	6000	2374	46	37	1	9	0.9737	0.8043	1.40	62668
aa_group	M0058	6000	1646	42	11	1	31	0.9167	0.2619	6.88	306756
aa_group	M0065	6000	2090	56	37	1	19	0.9737	0.6607	2.58	138268
aa_group	M0066	6000	2035	60	8	1	52	0.8889	0.1333	4.65	140224
aa_group	M0067	6000	1717	42	17	1	25	0.9444	0.4048	4.60	192172
aa_group	M0070	6000	1898	172	8	1	164	0.8889	0.0465	3.82	85384
aa_group	M0075	6000	1865	3	2	1	1	0.6667	0.6667	12.28	230812
aa_group	M0076	6000	1820	102	38	1	64	0.9744	0.3725	4.08	100668
aa_group	M0077	6000	1599	108	61	1	47	0.9839	0.5648	3.99	148832
aa_group	M0081	6000	1726	10	8	1	2	0.8889	0.8000	11.88	417724
aa_group	M0085	6000	1769	12	10	1	2	0.9091	0.8333	8.34	291056
aa_group	M0087	6000	1706	72	64	1	8	0.9846	0.8889	10.58	357452
aa_group	M0090	6000	1956	61	57	1	4	0.9828	0.9344	66.46	1362400
aa_group	M0092	6000	1859	43	36	1	7	0.9730	0.8372	15.14	278464
aa_group	M0093	6000	1636	24	8	1	16	0.8889	0.3333	4.60	186304
aa_group	M0096	6000	1984	24	2	1	22	0.6667	0.0833	1.95	85052
aa_group	M0100	6000	1506	381	183	1	198	0.9946	0.4803	7.02	155740
aa_group	M0104	6000	1830	12	5	1	7	0.8333	0.4167	12.84	391388
aa_group	M0107	6000	1749	78	6	1	72	0.8571	0.0769	4.28	177268
