config	qid	label	motif	mode	hits	answer_len	tp	fp	fn	precision	recall	f1	tp_at_1fp	sens_at_1fp	runtime_med	runtime_min	runtime_max	n_repeat
master	D1	zincseg_prefilter	zinc	prefilter	800	761	672	90	89	0.8819	0.8830	0.8825	26	0.0342	0.0543	0.0499	0.0735	5
default	D1	zincseg_prefilter	zinc	prefilter	800	761	672	90	89	0.8819	0.8830	0.8825	26	0.0342	0.0623	0.0512	0.0752	5
sensitive	D1	zincseg_prefilter	zinc	prefilter	800	761	666	97	95	0.8729	0.8752	0.8740	25	0.0329	0.0709	0.0538	0.0714	5
aa_blosum62	D1	zincseg_prefilter	zinc	prefilter	800	761	642	134	119	0.8273	0.8436	0.8354	17	0.0223	0.2158	0.2140	0.2184	5
aa_group	D1	zincseg_prefilter	zinc	prefilter	800	761	533	249	228	0.6816	0.7004	0.6909	14	0.0184	0.2947	0.2808	0.3236	5
aa_size	D1	zincseg_prefilter	zinc	prefilter	800	761	512	280	249	0.6465	0.6728	0.6594	11	0.0145	0.3699	0.3286	0.3836	5
sensitive_aa	D1	zincseg_prefilter	zinc	prefilter	800	761	642	133	119	0.8284	0.8436	0.8359	30	0.0394	0.3561	0.3392	0.3643	5
master	D2	zincseg_matched	zinc	matched	697	761	665	19	96	0.9722	0.8739	0.9204	26	0.0342	5.3490	5.1963	5.3827	5
default	D2	zincseg_matched	zinc	matched	697	761	665	19	96	0.9722	0.8739	0.9204	42	0.0552	4.5495	4.5122	4.5975	5
sensitive	D2	zincseg_matched	zinc	matched	705	761	661	28	100	0.9594	0.8686	0.9117	53	0.0696	5.1288	5.1132	5.1541	5
aa_blosum62	D2	zincseg_matched	zinc	matched	800	761	642	134	119	0.8273	0.8436	0.8354	51	0.0670	17.7811	17.4084	17.7997	5
aa_group	D2	zincseg_matched	zinc	matched	800	761	533	249	228	0.6816	0.7004	0.6909	46	0.0604	20.2022	20.1903	20.2216	5
aa_size	D2	zincseg_matched	zinc	matched	800	761	512	280	249	0.6465	0.6728	0.6594	94	0.1235	22.5929	22.5452	23.5636	5
sensitive_aa	D2	zincseg_matched	zinc	matched	800	761	642	133	119	0.8284	0.8436	0.8359	52	0.0683	17.0765	16.7165	17.1408	5
