config	query	hits	answer_len	tp	precision	recall	f1	runtime
confident_sens	M0858	1047	353	328	0.9909	0.9292	0.9591	2.00
confident_sens	M0860	350	14	3	0.0227	0.2143	0.0411	1.32
confident_sens	M0862	1	21	1	1.0000	0.0476	0.0909	1.85
confident_sens	M0869	6	6	4	1.0000	0.6667	0.8000	1.95
confident_sens	M0874	71	4	3	0.1765	0.7500	0.2857	2.26
confident_sens	M0879	0	38	0	NaN	0.0000	NaN	0.88
confident_sens	M0881	136	157	122	1.0000	0.7771	0.8746	2.08
confident_sens	M0884	236	24	20	0.4545	0.8333	0.5882	2.98
confident_sens	M0885	56	17	4	1.0000	0.2353	0.3810	5.93
confident_sens	M0895	0	131	0	NaN	0.0000	NaN	3.04
confident_sens	M0900	1837	448	359	0.8527	0.8013	0.8262	2.33
confident_sens	M0905	1219	231	140	0.4361	0.6061	0.5072	2.42
confident_sens	M0906	778	266	224	0.9256	0.8421	0.8819	1.76
confident_sens	M0908	213	79	61	0.8971	0.7722	0.8299	1.56
confident_sens	M0910	20	8	8	1.0000	1.0000	1.0000	2.38
confident_sens	M0916	3	1	1	1.0000	1.0000	1.0000	1.15
confident_sens	M0918	0	140	0	NaN	0.0000	NaN	2.60
confident_sens	M0919	36	19	14	0.5000	0.7368	0.5957	1.92
confident_sens	M0920	0	39	0	NaN	0.0000	NaN	1.34
confident_sens	M0925	129	24	3	0.1154	0.1250	0.1200	2.39
confident_sens	M0931	94	74	61	1.0000	0.8243	0.9037	2.49
confident_sens	M0937	109	32	26	0.5909	0.8125	0.6842	2.19
confident_sens	M0939	82	27	7	0.6364	0.2593	0.3684	2.95
confident_sens	M0940	1228	122	23	0.6765	0.1885	0.2949	2.81
confident_sens	M0947	376	68	26	0.8387	0.3824	0.5253	4.23
confident_sens	M0952	8	89	5	1.0000	0.0562	0.1064	3.34
confident_sens	M0957	4392	223	89	0.5633	0.3991	0.4672	3.63
confident_sens	M0958	4451	243	91	0.5200	0.3745	0.4354	2.79
confident_sens	M0959	2678	178	56	0.9180	0.3146	0.4686	3.90
confident_sens	M0961	2037	155	52	0.8254	0.3355	0.4771	3.67
confident_sens	M0962	3332	147	77	0.7549	0.5238	0.6185	2.66
confident_sens	M0964	42	69	6	1.0000	0.0870	0.1600	2.28
