index_side	query_side	n	identical_ranking	mean_jaccard
orig_I1	orig_I0	250	0.0000	0.5802
orig_I2	orig_I0_sens	250	0.0000	0.4375
mut_I1	mut_I0	250	0.0000	0.5783
mut_I2	mut_I0_sens	250	0.0000	0.4246
orig_I3	orig_I0_aa	250	0.0000	0.6179
mut_I3	mut_I0_aa	250	0.0000	0.6189
