index	query	fraction	rep	answer	total	result_len	answer_len	type	nbin_dist	nbin_angle	tp	tn	fp	fn	precision	recall	accuracy	f1_score
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.1	2.tsv	result/homeo_answer.tsv	344850	83939	269	PDBTrRosetta	16	4	16	344576	5	253	0.7619	0.0595	0.9993	0.1103
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.05	1.tsv	result/homeo_answer.tsv	344850	49185	269	PDBTrRosetta	16	4	1	344576	5	268	0.1667	0.0037	0.9992	0.0073
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.2	2.tsv	result/homeo_answer.tsv	344850	194150	269	PDBTrRosetta	16	4	18	344576	5	251	0.7826	0.0669	0.9993	0.1233
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.1	4.tsv	result/homeo_answer.tsv	344850	33541	269	PDBTrRosetta	16	4	14	344576	5	255	0.7368	0.0520	0.9992	0.0972
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.1	3.tsv	result/homeo_answer.tsv	344850	68756	269	PDBTrRosetta	16	4	12	344576	5	257	0.7059	0.0446	0.9992	0.0839
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.3	4.tsv	result/homeo_answer.tsv	344850	264777	269	PDBTrRosetta	16	4	14	344576	5	255	0.7368	0.0520	0.9992	0.0972
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.2	3.tsv	result/homeo_answer.tsv	344850	232134	269	PDBTrRosetta	16	4	11	344576	5	258	0.6875	0.0409	0.9992	0.0772
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.25	4.tsv	result/homeo_answer.tsv	344850	235706	269	PDBTrRosetta	16	4	24	344576	5	245	0.8276	0.0892	0.9993	0.1611
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.3	3.tsv	result/homeo_answer.tsv	344850	268511	269	PDBTrRosetta	16	4	13	344576	5	256	0.7222	0.0483	0.9992	0.0906
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.25	1.tsv	result/homeo_answer.tsv	344850	242276	269	PDBTrRosetta	16	4	7	344576	5	262	0.5833	0.0260	0.9992	0.0498
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.3	2.tsv	result/homeo_answer.tsv	344850	282955	269	PDBTrRosetta	16	4	17	344576	5	252	0.7727	0.0632	0.9993	0.1168
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.25	3.tsv	result/homeo_answer.tsv	344850	227560	269	PDBTrRosetta	16	4	8	344576	5	261	0.6154	0.0297	0.9992	0.0567
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bjya3	0.05	4.tsv	result/homeo_answer.tsv	344850	3059	269	PDBTrRosetta	16	4	0	344576	5	269	0.0000	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.15	3.tsv	result/homeo_answer.tsv	344850	150568	269	PDBTrRosetta	16	4	15	344576	5	254	0.7500	0.0558	0.9992	0.1038
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.3	0.tsv	result/homeo_answer.tsv	344850	273204	269	PDBTrRosetta	16	4	11	344576	5	258	0.6875	0.0409	0.9992	0.0772
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.15	1.tsv	result/homeo_answer.tsv	344850	121536	269	PDBTrRosetta	16	4	9	344576	5	260	0.6429	0.0335	0.9992	0.0636
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.15	2.tsv	result/homeo_answer.tsv	344850	127197	269	PDBTrRosetta	16	4	18	344576	5	251	0.7826	0.0669	0.9993	0.1233
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.3	1.tsv	result/homeo_answer.tsv	344850	256817	269	PDBTrRosetta	16	4	20	344576	5	249	0.8000	0.0743	0.9993	0.1361
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.35	3.tsv	result/homeo_answer.tsv	344850	290854	269	PDBTrRosetta	16	4	8	344576	5	261	0.6154	0.0297	0.9992	0.0567
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bjya3	0.05	1.tsv	result/homeo_answer.tsv	344850	1954	269	PDBTrRosetta	16	4	0	344576	5	269	0.0000	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bjya3	0.05	2.tsv	result/homeo_answer.tsv	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.1	0.tsv	result/homeo_answer.tsv	344850	143905	269	PDBTrRosetta	16	4	6	344576	5	263	0.5455	0.0223	0.9992	0.0429
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.35	2.tsv	result/homeo_answer.tsv	344850	281917	269	PDBTrRosetta	16	4	12	344576	5	257	0.7059	0.0446	0.9992	0.0839
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.35	0.tsv	result/homeo_answer.tsv	344850	275671	269	PDBTrRosetta	16	4	15	344576	5	254	0.7500	0.0558	0.9992	0.1038
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.25	2.tsv	result/homeo_answer.tsv	344850	270108	269	PDBTrRosetta	16	4	6	344576	5	263	0.5455	0.0223	0.9992	0.0429
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bjya3	0.05	0.tsv	result/homeo_answer.tsv	344850	28425	269	PDBTrRosetta	16	4	2	344576	5	267	0.2857	0.0074	0.9992	0.0145
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bjya3	0.05	3.tsv	result/homeo_answer.tsv	344850	21026	269	PDBTrRosetta	16	4	10	344576	5	259	0.6667	0.0372	0.9992	0.0704
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bjya3	0.1	0.tsv	result/homeo_answer.tsv	344850	43094	269	PDBTrRosetta	16	4	10	344576	5	259	0.6667	0.0372	0.9992	0.0704
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.15	4.tsv	result/homeo_answer.tsv	344850	159118	269	PDBTrRosetta	16	4	14	344576	5	255	0.7368	0.0520	0.9992	0.0972
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.4	0.tsv	result/homeo_answer.tsv	344850	286573	269	PDBTrRosetta	16	4	6	344576	5	263	0.5455	0.0223	0.9992	0.0429
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.35	4.tsv	result/homeo_answer.tsv	344850	289030	269	PDBTrRosetta	16	4	10	344576	5	259	0.6667	0.0372	0.9992	0.0704
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.35	1.tsv	result/homeo_answer.tsv	344850	276154	269	PDBTrRosetta	16	4	6	344576	5	263	0.5455	0.0223	0.9992	0.0429
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.45	4.tsv	result/homeo_answer.tsv	344850	295459	269	PDBTrRosetta	16	4	12	344576	5	257	0.7059	0.0446	0.9992	0.0839
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.15	0.tsv	result/homeo_answer.tsv	344850	192734	269	PDBTrRosetta	16	4	4	344576	5	265	0.4444	0.0149	0.9992	0.0288
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bjya3	0.15	3.tsv	result/homeo_answer.tsv	344850	81404	269	PDBTrRosetta	16	4	20	344576	5	249	0.8000	0.0743	0.9993	0.1361
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bjya3	0.1	1.tsv	result/homeo_answer.tsv	344850	88264	269	PDBTrRosetta	16	4	13	344576	5	256	0.7222	0.0483	0.9992	0.0906
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.45	0.tsv	result/homeo_answer.tsv	344850	299019	269	PDBTrRosetta	16	4	19	344576	5	250	0.7917	0.0706	0.9993	0.1297
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bjya3	0.1	4.tsv	result/homeo_answer.tsv	344850	94398	269	PDBTrRosetta	16	4	7	344576	5	262	0.5833	0.0260	0.9992	0.0498
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.4	2.tsv	result/homeo_answer.tsv	344850	291377	269	PDBTrRosetta	16	4	15	344576	5	254	0.7500	0.0558	0.9992	0.1038
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.45	1.tsv	result/homeo_answer.tsv	344850	297117	269	PDBTrRosetta	16	4	9	344576	5	260	0.6429	0.0335	0.9992	0.0636
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.5	1.tsv	result/homeo_answer.tsv	344850	300776	269	PDBTrRosetta	16	4	13	344576	5	256	0.7222	0.0483	0.9992	0.0906
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.2	4.tsv	result/homeo_answer.tsv	344850	217132	269	PDBTrRosetta	16	4	12	344576	5	257	0.7059	0.0446	0.9992	0.0839
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.4	1.tsv	result/homeo_answer.tsv	344850	289572	269	PDBTrRosetta	16	4	7	344576	5	262	0.5833	0.0260	0.9992	0.0498
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.2	2.tsv	result/homeo_answer.tsv	344850	204672	269	PDBTrRosetta	16	4	14	344576	5	255	0.7368	0.0520	0.9992	0.0972
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.4	3.tsv	result/homeo_answer.tsv	344850	290286	269	PDBTrRosetta	16	4	16	344576	5	253	0.7619	0.0595	0.9993	0.1103
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.2	0.tsv	result/homeo_answer.tsv	344850	238136	269	PDBTrRosetta	16	4	12	344576	5	257	0.7059	0.0446	0.9992	0.0839
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.2	1.tsv	result/homeo_answer.tsv	344850	206246	269	PDBTrRosetta	16	4	18	344576	5	251	0.7826	0.0669	0.9993	0.1233
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.4	4.tsv	result/homeo_answer.tsv	344850	290162	269	PDBTrRosetta	16	4	11	344576	5	258	0.6875	0.0409	0.9992	0.0772
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.45	3.tsv	result/homeo_answer.tsv	344850	299309	269	PDBTrRosetta	16	4	10	344576	5	259	0.6667	0.0372	0.9992	0.0704
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.25	1.tsv	result/homeo_answer.tsv	344850	264170	269	PDBTrRosetta	16	4	12	344576	5	257	0.7059	0.0446	0.9992	0.0839
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bjya3	0.15	0.tsv	result/homeo_answer.tsv	344850	127673	269	PDBTrRosetta	16	4	10	344576	5	259	0.6667	0.0372	0.9992	0.0704
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.3	0.tsv	result/homeo_answer.tsv	344850	257014	269	PDBTrRosetta	16	4	18	344576	5	251	0.7826	0.0669	0.9993	0.1233
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.45	2.tsv	result/homeo_answer.tsv	344850	294787	269	PDBTrRosetta	16	4	10	344576	5	259	0.6667	0.0372	0.9992	0.0704
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.2	3.tsv	result/homeo_answer.tsv	344850	240991	269	PDBTrRosetta	16	4	10	344576	5	259	0.6667	0.0372	0.9992	0.0704
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.3	3.tsv	result/homeo_answer.tsv	344850	267271	269	PDBTrRosetta	16	4	13	344576	5	256	0.7222	0.0483	0.9992	0.0906
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.5	0.tsv	result/homeo_answer.tsv	344850	299138	269	PDBTrRosetta	16	4	12	344576	5	257	0.7059	0.0446	0.9992	0.0839
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.5	2.tsv	result/homeo_answer.tsv	344850	299639	269	PDBTrRosetta	16	4	11	344576	5	258	0.6875	0.0409	0.9992	0.0772
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.25	3.tsv	result/homeo_answer.tsv	344850	259123	269	PDBTrRosetta	16	4	15	344576	5	254	0.7500	0.0558	0.9992	0.1038
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bjya3	0.1	2.tsv	result/homeo_answer.tsv	344850	142424	269	PDBTrRosetta	16	4	11	344576	5	258	0.6875	0.0409	0.9992	0.0772
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.25	0.tsv	result/homeo_answer.tsv	344850	262417	269	PDBTrRosetta	16	4	15	344576	5	254	0.7500	0.0558	0.9992	0.1038
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.25	4.tsv	result/homeo_answer.tsv	344850	250049	269	PDBTrRosetta	16	4	24	344576	5	245	0.8276	0.0892	0.9993	0.1611
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.5	4.tsv	result/homeo_answer.tsv	344850	295890	269	PDBTrRosetta	16	4	14	344576	5	255	0.7368	0.0520	0.9992	0.0972
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.5	3.tsv	result/homeo_answer.tsv	344850	299022	269	PDBTrRosetta	16	4	12	344576	5	257	0.7059	0.0446	0.9992	0.0839
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bjya3	0.15	2.tsv	result/homeo_answer.tsv	344850	177069	269	PDBTrRosetta	16	4	7	344576	5	262	0.5833	0.0260	0.9992	0.0498
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bjya3	0.1	3.tsv	result/homeo_answer.tsv	344850	170749	269	PDBTrRosetta	16	4	6	344576	5	263	0.5455	0.0223	0.9992	0.0429
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.3	1.tsv	result/homeo_answer.tsv	344850	278510	269	PDBTrRosetta	16	4	12	344576	5	257	0.7059	0.0446	0.9992	0.0839
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.25	2.tsv	result/homeo_answer.tsv	344850	270434	269	PDBTrRosetta	16	4	7	344576	5	262	0.5833	0.0260	0.9992	0.0498
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.3	4.tsv	result/homeo_answer.tsv	344850	270198	269	PDBTrRosetta	16	4	11	344576	5	258	0.6875	0.0409	0.9992	0.0772
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.4	0.tsv	result/homeo_answer.tsv	344850	292417	269	PDBTrRosetta	16	4	5	344576	5	264	0.5000	0.0186	0.9992	0.0358
